time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 1, 41)",27.72112,85.29504167,60,5.3269625707148025,5.3269625707148025,7132.266287170938
"(0, 2, 41)",27.72110333,85.29506667,60,3.080822872247167,8.40778544296197,7129.194129326759
"(0, 3, 40)",27.72105,85.29505167,59,6.11107243780995,14.51885788077192,7126.39270747592
"(0, 4, 40)",27.72107667,85.29505833,60,3.037162355943912,17.55602023671583,7127.855416607544
"(0, 5, 39)",27.72110833,85.29506,59,3.524267083699962,21.080287320415792,7130.054313897439
"(0, 6, 39)",27.72107833,85.29499167,60,7.507681262671526,28.587968583087317,7132.9103706614505
"(0, 7, 38)",27.72104833,85.294975,59,3.7175693167994246,32.305537899886744,7131.946569452899
"(0, 8, 38)",27.72102833,85.29495833,60,2.7637233937886108,35.06926129367535,7131.716685368443
"(0, 9, 37)",27.72094333,85.29496667,59,9.487152952948447,44.5564142466238,7124.87852515242
"(0, 10, 37)",27.72098667,85.29498,60,4.994616036387144,49.551030283010945,7127.061442278235
"(0, 11, 37)",27.72105167,85.295015,60,8.006756130333793,57.557786413344736,7129.229480675726
"(0, 12, 36)",27.72104,85.29500667,59,1.5349870257883396,59.092773439133076,7128.991127735372
"(0, 13, 36)",27.72108667,85.29503167,60,5.7433561662089065,64.83612960534198,7130.561362122516
"(0, 15, 5)",27.72101667,85.29504,89,7.82671262197856,72.66284222732054,7124.813942077104
"(0, 16, 5)",27.721,85.29504833,60,2.0268716290966142,74.68971385641716,7122.975856758905
"(0, 17, 4)",27.72105167,85.29506333,59,5.9321251547615725,80.62183901117874,7125.652216046414
"(0, 18, 4)",27.72073,85.295065,60,35.76844978396356,116.3902887951423,7101.994723390584
"(0, 19, 3)",27.72072167,85.29503,59,3.5674832284799844,119.95777202362228,7103.985894268139
"(0, 20, 3)",27.72069667,85.29506333,60,4.3001243552668535,124.25789637888914,7099.686125318746
"(0, 21, 3)",27.72073333,85.29512333,60,7.176168322356093,131.43406470124523,7097.90811402599
"(0, 22, 2)",27.72063667,85.29517,59,11.688675981639657,143.12274068288488,7087.385437341317
"(0, 23, 2)",27.72057,85.295055,60,13.531257642794667,156.65399832567954,7091.07069419828
"(0, 24, 1)",27.720565,85.29501333,59,4.139200399118782,160.79319872479832,7093.806432897364
"(0, 25, 1)",27.72057667,85.294995,60,2.222448713490161,163.01564743828848,7096.019832140456
"(0, 26, 0)",27.72065167,85.29499,59,8.354129408224718,171.3697768465132,7101.85416408243
"(0, 27, 0)",27.72067,85.29500333,60,2.424024815502974,173.79380166201616,7102.199132111277
"(0, 27, 59)",27.72067,85.29503,59,2.6251981322700795,176.41899979428624,7100.216967635439
"(0, 28, 59)",27.720715,85.29500833,60,5.43944552878534,181.85844532307158,7105.108999203406
"(0, 29, 59)",27.72070833,85.29499333,60,1.6522995722029397,183.5107448952745,7105.737008591898
"(0, 30, 58)",27.72069333,85.29497667,59,2.339059593691984,185.8498044889665,7105.881435637026
"(0, 31, 58)",27.72068167,85.295015,60,3.9894783401637324,189.83928282913024,7102.182615392861
"(0, 32, 57)",27.72071167,85.29498333,59,4.565721961685992,194.40500479081624,7106.723656133818
"(0, 33, 57)",27.72071167,85.29501,60,2.6251971304103776,197.03020192122662,7104.742027023727
"(0, 34, 56)",27.72069833,85.29504333,59,3.600510237936714,200.63071215916332,7101.292828397188
"(0, 36, 26)",27.72064167,85.29502,90,6.7057768092957355,207.33648896845907,7098.895024140648
"(0, 37, 25)",27.72195,85.29607833,59,178.93146891742018,386.26795788587924,7117.800431731332
"(0, 38, 25)",27.72358,85.29698,60,201.8109622094797,588.078920095359,7177.04868728468
"(0, 39, 24)",27.72567,85.301245,59,479.8338498511286,1067.9127699464875,7050.919485754869
"(0, 40, 24)",27.727875,85.30521667,60,461.44778535691535,1529.3605553034029,6983.685875155081
"(0, 41, 24)",27.73189833,85.30532167,60,447.49323485740996,1976.8537901608129,7332.475708979358
"(0, 42, 23)",27.73531333,85.30697,59,412.9334353625658,2389.7872255233788,7550.488546451629
"(0, 43, 23)",27.73491667,85.31037667,60,338.1717121063182,2727.958937629697,7332.376791308697
"(0, 44, 22)",27.73498333,85.31401167,59,357.83250249122796,3085.791440120925,7157.525321857286
"(0, 45, 22)",27.73520167,85.318615,60,453.7079525882125,3539.4993927091373,6969.645603823081
